"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.component.ts", "TypeScript", 0, 0, 190, 0, 0, 0, 5, 14, 209
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.model.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.model.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\egresos\egresos.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 12, 39
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\email\email.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\email\email.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\email\email.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\email\email.component.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 8, 32
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\footer\footer.css", "CSS", 0, 0, 0, 0, 0, 86, 3, 18, 107
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\footer\footer.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\fraccionamientos\fraccionamientos.component.css", "CSS", 0, 0, 0, 0, 0, 72, 23, 28, 123
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\fraccionamientos\fraccionamientos.component.html", "HTML", 0, 0, 0, 0, 48, 0, 36, 24, 108
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\fraccionamientos\fraccionamientos.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\AngularSRDeveloper\proyectoWeb-master\src\app\fraccionamientos\fraccionamientos.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 62, 34, 187
